"StaffID","StaffDept","StaffName","StaffSlots","NotToInvigilate"
"S068","SOCSE","Dr. Tony Hoare",4,""
"S069","SOCSE","Dr. Margaret Boden",3,""
"S070","AIE","Dr. Carla Gomes",2,"AIE3012"
"S071","EEE","Dr. Leonard Kleinrock",2,"EEE3008"
"S072","ECE","Dr. Karen Sparck Jones",2,""
"S073","SOCSE","Dr. Leslie Valiant",4,""
"S074","SOCSE","Dr. David Patterson",3,"CSE3043"
"S075","AIE","Dr. John Platt",2,""
"S076","EEE","Dr. Sidney Darlington",2,"EEE3012"
"S077","ECE","Dr. Shafi Goldwasser",3,"ECE3051"
"S078","SOCSE","Dr. John Backus",4,""
"S079","SOCSE","Dr. Fred Brooks",4,"CSE3001"
"S080","AIE","Dr. Yann Ollivier",3,"AIE3021"
"S081","AIE","Dr. Regina Barzilay",3,""
"S082","EEE","Dr. Charles Kao",2,"EEE3040"
"S083","ECE","Dr. Lillian Gilbreth",2,""
"S084","SOCSE","Dr. Tom Kilburn",4,""
"S085","SOCSE","Dr. Betty Snyder",3,""
"S086","AIE","Dr. Anna Goldie",4,"AIE3040"
"S087","AIE","Dr. David Silver",3,""
"S088","EEE","Dr. Stephen Hawking",2,""
"S089","ECE","Dr. Sophie Wilson",3,"ECE3047"
"S090","SOCSE","Dr. Adele Goldberg",4,""
"S091","SOCSE","Dr. Frances Allen",4,"CSE3043"
"S092","AIE","Dr. Jurgen Schmidhuber",3,"AIE3012"
"S093","AIE","Dr. Sanjeev Arora",3,""
"S094","EEE","Dr. John Eccles",2,""
"S095","ECE","Dr. Frances Arnold",2,"ECE3002"
"S096","SOCSE","Dr. Radia Perlman",4,""
"S097","SOCSE","Dr. Ivan Sutherland",3,""
"S098","AIE","Dr. Sebastian Thrun",2,"AIE3032"
"S099","EEE","Dr. Andre Geim",2,"EEE3022"
"S100","ECE","Dr. Rosalind Picard",3,"ECE3050"
